elevation,elevation_round,mean,upper_se,se
-30.33746499,-30,0,0,0
-20.35040726,-20,268.1948424,340.4011461,72.20630372
-0.326840733,0,639.5415473,728.9398281,89.3982808
9.683912302,10,828.6532951,897.4212034,68.76790831
19.83168604,20,560.4584527,670.487106,110.0286533
29.4025305,29,1017.765043,1120.916905,103.1518625
39.55442516,40,735.8166189,852.722063,116.9054441
49.52396896,50,1062.464183,1151.862464,89.3982808
59.55841731,60,1172.492837,1248.137536,75.64469914
69.77624674,70,670.487106,780.5157593,110.0286533
79.39242136,79,976.504298,1055.587393,79.08309456
89.5968578,90,519.1977077,598.2808023,79.08309456
99.69621068,100,412.6074499,512.3209169,99.71346705
109.770838,110,388.5386819,522.6361032,134.0974212
