"psmsl_id","gauge_id","gauge_name","gauge_start","gauge_end","gauge_pc","lat","long","rslr","se","gt","rcp85_50_2030","rcp85_50_2050","rcp85_50_2100","rcp85_50_2150","rcp85_50_2200","rcp45_50_2030","rcp45_50_2050","rcp45_50_2100","rcp45_50_2150","rcp45_50_2200","rcp26_50_2030","rcp26_50_2050","rcp26_50_2100","rcp26_50_2150","rcp26_50_2200"
428,8727520,"Cedar Key, FL",1914,2015,84,29.135,-83.0317,1.92,0.85,1.157,0.16,0.31,0.79,1.3,1.9,0.15,0.27,0.6,0.9,1.2,0.16,0.27,0.5,0.7,1
1193,8728690,"Apalachicola, FL",1967,2015,95,29.7267,-84.9817,3.1,1.07,0.492,0.16,0.3,0.78,1.3,1.9,0.15,0.27,0.59,0.9,1.2,0.15,0.26,0.49,0.7,0.9
1641,8729108,"Panama City, FL",1973,2015,97,30.1523,-85.6669,4.16,0.82,0.409,0.15,0.3,0.77,1.3,1.8,0.15,0.26,0.58,0.9,1.2,0.15,0.26,0.48,0.7,0.9
246,8729840,"Pensacola, FL",1923,2015,98,30.4044,-87.2112,3.6,0.92,0.383,0.16,0.31,0.79,1.3,1.9,0.16,0.28,0.61,0.9,1.3,0.16,0.27,0.51,0.8,1
1156,8735180,"Dauphin Island, AL",1966,2015,84,30.25,-88.075,3.35,1.16,0.367,0.2,0.37,0.92,1.5,2.2,0.19,0.34,0.74,1.1,1.5,0.2,0.34,0.64,0.9,1.2
526,8761724,"Grand Isle, LA",1947,2015,54,29.2633,-89.9567,7.39,0.97,0.323,0.37,0.66,1.49,2.4,3.3,0.36,0.63,1.31,2,2.7,0.37,0.62,1.21,1.8,2.4
920,8770570,"Sabine Pass, TX",1958,2015,54,29.7284,-93.8701,5.28,1.36,0.488,0.26,0.47,1.12,1.8,2.6,0.25,0.44,0.93,1.4,1.9,0.25,0.43,0.84,1.2,1.6
161,8771450,"Galveston Pier 21, TX",1908,2015,98,29.31,-94.7933,5.68,1.25,0.429,0.29,0.52,1.23,2,2.8,0.28,0.49,1.05,1.6,2.1,0.29,0.49,0.95,1.4,1.9
828,8771510,"Galveston Pleasure Pier, TX",1957,2011,91,29.2853,-94.7894,5.05,1.22,0.622,0.29,0.53,1.24,2,2.8,0.29,0.5,1.05,1.6,2.2,0.29,0.49,0.95,1.4,1.9
725,8772440,"Freeport, TX",1954,2008,100,28.9483,-95.3083,2.79,1.66,0.536,0.33,0.59,1.37,2.2,3.1,0.32,0.56,1.18,1.8,2.4,0.33,0.56,1.08,1.6,2.1
538,8774770,"Rockport, TX",1937,2015,68,28.0217,-97.0467,7.78,1.22,0.111,0.27,0.48,1.15,1.9,2.6,0.26,0.45,0.96,1.5,2,0.26,0.45,0.86,1.3,1.7
1903,8775870,"Corpus Christi, TX",1983,2015,96,27.58,-97.2167,5.54,1.18,0.497,0.24,0.43,1.05,1.7,2.4,0.23,0.4,0.86,1.3,1.8,0.23,0.4,0.77,1.1,1.5
919,8779750,"Padre Island, TX",1958,2006,85,26.0683,-97.1567,1.71,1.31,0.449,0.22,0.4,1,1.6,2.3,0.21,0.37,0.81,1.2,1.7,0.22,0.37,0.71,1.1,1.4
497,8779770,"Port Isabel, TX",1944,2015,73,26.06,-97.215,4.74,1.03,0.418,0.22,0.4,0.99,1.6,2.3,0.21,0.37,0.8,1.2,1.7,0.21,0.36,0.7,1,1.4
158,9410170,"San Diego, CA",1906,2015,98,32.7142,-117.1736,1.67,0.88,1.745,0.14,0.29,0.79,1.3,1.9,0.14,0.26,0.61,1,1.3,0.14,0.25,0.53,0.8,1
256,9410230,"La Jolla, CA",1924,2015,95,32.8667,-117.258,-0.53,0.88,1.624,0.14,0.28,0.79,1.3,1.9,0.14,0.26,0.61,1,1.3,0.14,0.25,0.52,0.8,1
245,9410660,"Los Angeles, CA",1923,2015,99,33.72,-118.272,0.44,0.85,1.674,0.1,0.22,0.67,1.1,1.7,0.1,0.2,0.49,0.8,1.1,0.1,0.19,0.4,0.6,0.8
377,9410840,"Santa Monica, CA",1933,2015,86,34.0083,-118.5,0.07,0.86,1.654,0.12,0.25,0.72,1.2,1.8,0.12,0.23,0.54,0.9,1.2,0.12,0.22,0.45,0.7,0.9
2126,9411340,"Santa Barbara, CA",1973,2015,58,34.4083,-119.685,-3.36,1.13,1.645,0.09,0.2,0.62,1.1,1.6,0.09,0.18,0.44,0.7,1,0.09,0.17,0.36,0.5,0.7
508,9412110,"Port San Luis, CA",1945,2015,94,35.1767,-120.76,-0.63,0.87,1.623,0.1,0.22,0.65,1.1,1.6,0.1,0.2,0.47,0.8,1,0.1,0.18,0.39,0.6,0.8
1352,9413450,"Monterey, CA",1973,2015,99,36.605,-121.888,0.51,0.9,1.627,0.11,0.24,0.7,1.2,1.7,0.11,0.22,0.52,0.8,1.1,0.12,0.21,0.44,0.6,0.9
10,9414290,"San Francisco, CA",1897,2015,99,37.8067,-122.465,-1.15,1.08,1.78,0.13,0.27,0.75,1.3,1.8,0.13,0.25,0.58,0.9,1.3,0.13,0.24,0.5,0.7,1
437,9414750,"Alameda, CA",1939,2015,99,37.7717,-122.2983,-2.5,1.11,2.01,0.1,0.22,0.65,1.1,1.6,0.1,0.19,0.48,0.8,1,0.1,0.18,0.4,0.6,0.8
1394,9415020,"Point Reyes, CA",1975,2015,98,37.9961,-122.9767,0.31,1.04,1.758,0.13,0.26,0.75,1.2,1.8,0.13,0.24,0.57,0.9,1.2,0.13,0.23,0.49,0.7,1
2125,9416841,"Arena Cove, CA",1978,2015,79,38.9133,-123.708,-1.15,1.11,1.787,0.09,0.21,0.64,1.1,1.6,0.09,0.19,0.47,0.7,1,0.1,0.18,0.39,0.6,0.7
378,9419750,"Crescent City, CA",1933,2015,93,41.745,-124.183,-2.44,1.22,2.095,0.05,0.13,0.47,0.8,1.3,0.05,0.11,0.31,0.5,0.7,0.05,0.1,0.23,0.3,0.4
1640,9431647,"Port Orford, OR",1977,2015,82,42.739,-124.4983,-3.2,1.42,2.22,0.09,0.2,0.62,1,1.6,0.09,0.19,0.46,0.7,1,0.09,0.18,0.39,0.6,0.7
1269,9432780,"Charleston, OR",1970,2015,98,43.345,-124.322,-1.62,1.33,2.323,0.09,0.2,0.61,1,1.6,0.09,0.18,0.45,0.7,1,0.09,0.17,0.38,0.5,0.7
1196,9435380,"South Beach, OR",1967,2015,100,44.625,-124.043,-1.14,1.38,2.543,0.13,0.26,0.74,1.2,1.8,0.13,0.25,0.59,0.9,1.3,0.13,0.24,0.52,0.7,1
265,9439040,"Astoria, OR",1925,2015,96,46.2073,-123.7683,-5.74,1.53,2.624,0.05,0.13,0.48,0.8,1.3,0.05,0.12,0.33,0.5,0.7,0.05,0.11,0.26,0.4,0.5
1354,9440910,"Toke Point, WA",1973,2015,92,46.7075,-123.9669,-4.33,1.58,2.72,0.08,0.18,0.58,1,1.5,0.08,0.17,0.43,0.7,1,0.08,0.16,0.36,0.5,0.7
385,9443090,"Neah Bay, WA",1934,2015,97,48.3667,-124.6117,-3.94,1.42,2.425,0,0.04,0.3,0.6,0.9,0,0.03,0.15,0.3,0.4,0,0.02,0.08,0.1,0.1
2127,9444090,"Port Angeles, WA",1975,2015,99,48.125,-123.44,-2.35,1.38,2.153,0.05,0.14,0.49,0.8,1.3,0.05,0.12,0.34,0.6,0.8,0.06,0.11,0.28,0.4,0.5
1325,9444900,"Port Townsend, WA",1972,2015,97,48.1117,-122.758,-1,1.26,2.597,0.1,0.21,0.64,1.1,1.6,0.1,0.2,0.5,0.8,1.1,0.1,0.19,0.43,0.6,0.8
127,9447130,"Seattle, WA",1899,2015,99,47.6026,-122.3393,-1.26,1.18,3.462,0.11,0.24,0.69,1.1,1.7,0.12,0.22,0.55,0.9,1.2,0.12,0.21,0.48,0.7,0.9
1633,9449424,"Cherry Point, WA",1973,2015,97,48.8633,-122.758,-2.58,1.27,2.788,0.03,0.1,0.41,0.7,1.2,0.03,0.09,0.28,0.5,0.7,0.03,0.08,0.21,0.3,0.4
384,9449880,"Friday Harbor, WA",1934,2015,82,48.5467,-123.01,-0.72,1.24,2.364,0.07,0.17,0.55,0.9,1.4,0.07,0.15,0.41,0.7,0.9,0.07,0.15,0.34,0.5,0.7
